id	filename	md5	size	state
8cc96310-eb43-437b-a0cf-6db2d43a9492	b98af474-c540-41b1-9308-31272df35cfa.wxs.aliquot_ensemble_masked.maf.gz	2e34a1f6a4e61980bc1f1a3e8b811abc	26736	released
576c3dd2-c6c9-429a-8a40-6490ca3c96a5	64475565-e011-4d05-960d-60e7c92162ea.wxs.aliquot_ensemble_masked.maf.gz	56a84e2b581481216fe7b1d45e0c2ea4	185404	released
c92eaa61-332c-4e6a-953b-ac3128cd04d4	9b044052-2fba-4205-b8fe-8f6d95f66ee9.wxs.aliquot_ensemble_masked.maf.gz	29a8bedaeaae5fbc4723a4c936c61d1f	304969	released
6bddeddf-391a-45a0-8b18-1540d8d5f219	2770732f-e9e1-4294-9f58-ea688e6c47a3.wxs.aliquot_ensemble_masked.maf.gz	fceaee1b34850c547c2f2f4fcf9a2db1	25425	released
784b5686-a687-4bd6-a795-6fedf777a123	64de2ef5-d718-4c9d-920c-15a2c91bfbbf.wxs.aliquot_ensemble_masked.maf.gz	6f7428cfee7430b7517fc096ee18ffcb	406385	released
24003379-a115-4ff7-bf3c-85871e9fbf65	bb29bc16-4cc8-4489-921d-0863cbfa3167.wxs.aliquot_ensemble_masked.maf.gz	27bebe9176bf5635674637bb6dc020cd	17463	released
e7ee601b-0b9b-43a3-93d0-9dbc745e8b87	79e9f980-468c-40bb-b25a-3856d3eb5144.wxs.aliquot_ensemble_masked.maf.gz	ae0a4680b215e3e9aebb3328c40ee440	163027	released
d240ba88-76ab-4d4e-99dc-1e134007cf70	05a06878-78a4-4aea-8be5-c1b27c50b456.wxs.aliquot_ensemble_masked.maf.gz	8c6e133d40d5337b019d74c283e0ffcb	69098	released
d5181dfc-8666-4f63-98e0-b79f8ad94772	d674ee59-6fcd-49c2-bfa0-35b7d11dd579.wxs.aliquot_ensemble_masked.maf.gz	ba0abc65fdd4d716c41ef1ab37d46f51	37848	released
4c589d84-1dae-47c7-8ac6-50ca92f25b6d	dc2eb823-8219-4049-bfc0-d5f665e1f2f4.wxs.aliquot_ensemble_masked.maf.gz	6f34ef73350fc74544e0d1359758a085	21376	released
013e3d9d-872d-4277-914e-1fd8e79ce921	e1cb0745-ac41-45e9-9bab-a7b5f72e86e6.wxs.aliquot_ensemble_masked.maf.gz	2d045205e7767235e01c42f68f882302	19339	released
6175ab87-513d-4adf-850e-64d7d5ebc248	24b72b41-8707-4527-af0f-f48c4be369c2.wxs.aliquot_ensemble_masked.maf.gz	135e9faf04e5a75c267869a71c69589e	20647	released
e9237e1d-934c-4e44-a0df-afc428b0ae70	da8e1298-fe69-451e-a388-0da5a03c1a8b.wxs.aliquot_ensemble_masked.maf.gz	f0473fa39023fe783b3b12cd53ccaeea	26533	released
c8944fd3-9e3d-4150-873d-299b378a0fb8	622e8fe2-6946-477b-bca9-5acfd1c76f06.wxs.aliquot_ensemble_masked.maf.gz	00358b0215855092c8efdd0afc310138	632598	released
7ed180e5-f32e-4d48-bc25-6e46ee417e12	3c95e5f2-9993-4df9-b828-b66f94d54698.wxs.aliquot_ensemble_masked.maf.gz	a17f985d0ef6f5ad61bbb6a46ea08f88	397475	released
